Region;Pyrenees
Country;France
#;4
Spring Name/Station Name;Aliou
Literature;Labat et al. (2002)
Lat;42.99
Lon;1.048
Elev (m);500
Recharge Area (km2);11
Start Date;10.04.1969
End Date;24.08.2026
Resolution;Daily
Data Source;eaufrance hydroportail (from Sandra Beranger)
Data License;CC BY 4.0
Contact For License;Sandra Beranger
Spring ID;PYR_04_FR
Date;Discharge m^3/s
1969-04-10T00:00:00.000Z;0.150
1969-04-11T00:00:00.000Z;0.125
1969-04-12T00:00:00.000Z;0.115
1969-04-13T00:00:00.000Z;0.125
1969-04-14T00:00:00.000Z;0.165
1969-04-15T00:00:00.000Z;0.240
1969-04-16T00:00:00.000Z;0.245
1969-04-17T00:00:00.000Z;0.210
1969-04-18T00:00:00.000Z;1.76
1969-04-19T00:00:00.000Z;0.770
1969-04-20T00:00:00.000Z;0.390
1969-04-21T00:00:00.000Z;0.295
1969-04-22T00:00:00.000Z;0.245
1969-04-23T00:00:00.000Z;0.940
1969-04-24T00:00:00.000Z;0.455
1969-04-25T00:00:00.000Z;0.300
1969-04-26T00:00:00.000Z;0.250
1969-04-27T00:00:00.000Z;0.910
1969-04-28T00:00:00.000Z;1.87
1969-04-29T00:00:00.000Z;2.84
1969-04-30T00:00:00.000Z;1.20
1969-05-01T00:00:00.000Z;0.510
1969-05-02T00:00:00.000Z;0.315
1969-05-03T00:00:00.000Z;0.250
1969-05-04T00:00:00.000Z;0.270
1969-05-05T00:00:00.000Z;0.315
1969-05-06T00:00:00.000Z;0.920
1969-05-07T00:00:00.000Z;0.455
1969-05-08T00:00:00.000Z;0.340
1969-05-09T00:00:00.000Z;0.530
1969-05-10T00:00:00.000Z;0.540
1969-05-11T00:00:00.000Z;0.315
1969-05-12T00:00:00.000Z;0.245
1969-05-13T00:00:00.000Z;0.195
1969-05-14T00:00:00.000Z;0.150
1969-05-15T00:00:00.000Z;0.120
1969-05-16T00:00:00.000Z;0.0950
1969-05-17T00:00:00.000Z;0.0820
1969-05-18T00:00:00.000Z;0.0760
1969-05-19T00:00:00.000Z;0.275
1969-05-20T00:00:00.000Z;0.295
1969-05-21T00:00:00.000Z;0.180
1969-05-22T00:00:00.000Z;0.120
1969-05-23T00:00:00.000Z;0.105
1969-05-24T00:00:00.000Z;0.0900
1969-05-25T00:00:00.000Z;0.0790
1969-05-26T00:00:00.000Z;0.145
1969-05-27T00:00:00.000Z;0.120
1969-05-28T00:00:00.000Z;0.0920
1969-05-29T00:00:00.000Z;0.390
1969-05-30T00:00:00.000Z;0.195
1969-05-31T00:00:00.000Z;0.135
1969-06-01T00:00:00.000Z;0.0960
1969-06-02T00:00:00.000Z;0.120
1969-06-03T00:00:00.000Z;0.195
1969-06-04T00:00:00.000Z;0.150
1969-06-05T00:00:00.000Z;0.805
1969-06-06T00:00:00.000Z;0.335
1969-06-07T00:00:00.000Z;0.240
1969-06-08T00:00:00.000Z;0.175
1969-06-09T00:00:00.000Z;0.120
1969-06-10T00:00:00.000Z;0.0940
1969-06-11T00:00:00.000Z;0.0820
1969-06-12T00:00:00.000Z;0.0780
1969-06-13T00:00:00.000Z;0.0720
1969-06-14T00:00:00.000Z;0.135
1969-06-15T00:00:00.000Z;1.22
1969-06-16T00:00:00.000Z;0.450
1969-06-17T00:00:00.000Z;0.250
1969-06-18T00:00:00.000Z;0.195
1969-06-19T00:00:00.000Z;0.485
1969-06-20T00:00:00.000Z;0.245
1969-06-21T00:00:00.000Z;0.175
1969-06-22T00:00:00.000Z;0.150
1969-06-23T00:00:00.000Z;0.135
1969-06-24T00:00:00.000Z;0.215
1969-06-25T00:00:00.000Z;0.160
1969-06-26T00:00:00.000Z;0.130
1969-06-27T00:00:00.000Z;0.0820
1969-06-28T00:00:00.000Z;0.0700
1969-06-29T00:00:00.000Z;0.0600
1969-06-30T00:00:00.000Z;0.0550
1969-07-01T00:00:00.000Z;0.0500
1969-07-02T00:00:00.000Z;0.0500
1969-07-03T00:00:00.000Z;0.0470
1969-07-04T00:00:00.000Z;0.0450
1969-07-05T00:00:00.000Z;0.0400
1969-07-06T00:00:00.000Z;0.0350
1969-07-07T00:00:00.000Z;0.160
1969-07-08T00:00:00.000Z;0.265
1969-07-09T00:00:00.000Z;0.135
1969-07-10T00:00:00.000Z;0.0820
1969-07-11T00:00:00.000Z;0.0700
1969-07-12T00:00:00.000Z;0.0580
